,indexacao,category_id
23717,"Obrigatoriedade, repasse, valor, despesa, Poder Legislativo, municípios, conta bancária, Câmara Municipal.",1
20136,"Sustação, Parecer, Advocacia-Geral da União, aplicação, Emenda Constituicional, restabelecimento, recursos orçamentários, Orçamento Geral da União, aplicação de recursos, saúde pública, base de cálculo, exercício financeiro anterior, correção, variação, (PIB).",3
39094,"_ Autorização, integração, consórcio público, regime especial, Autoridade Pública Olímpica, Rio de Janeiro, (RJ), coordenação, realização, Jogos Olímpicos, Jogos Paraolímpicos, cumprimento, obrigações, Comitê Olímpico Internacional.  _ Autoridade Pública Olímpica, presidência, indicação, Presidente da República, aprovação, Senado, competência, instância máxima, Conselho Público Olímpico, critérios, aquisição, bens e serviços, contratação, obra pública, infraestrutura aeroportuária, Copa do Mundo, licitação, divulgação, Diário Oficial, prazo determinado , extinção, consórcio.",1
62686,"Autorização, Municípios, Prefeitura Municipal, realização, empréstimo, refinanciamento,  dívida pública, Administração Municipal, credor, instituição financeira, banco estrangeiro, agência de fomento, avaliação, (BNDES), (CEF), prorrogação, prazo.",1
64419,"Aplicação, recursos, ações, serviços públicos, saúde, valor mínimo, União.",1
62581,"Obrigatoriedade, instituição financeira, bancos, atendimento domiciliar, cliente, idoso, aposentado, pensionista, pessoa portadora de deficiência, deficiente físico, doença grave, impossibilidade, locomoção, agência bancária, recebimento, benefício previdenciário, pensão previdenciária, Previdência Social, exigência, comprovação, antecipação, solicitação.",0
11177,"Alteração, Lei de Responsabilidade Fiscal, proibição, contingenciamento, dotação orçamentária,  Fundo Nacional de Saúde (FNS).",3
8405,"Alteração, Código de Processo Penal, prioridade, tramitação, instrução criminal, procedimento judicial, ato processual, rito especial, processo penal, crime de responsabilidade, funcionários, servidor público, agente público.",0
64804,"Alteração, Estatuto da Micro e Pequena Empresa, exclusão, apuração, receita bruta, valor, venda, pão, produto, utilização, farinha, fubá, comercialização, local, produção.",3
5746,"Alteração, Código Eleitoral,  indeferimento, requerimento, inscrição eleitoral, transferência, domicílio eleitoral, eleitor, ônus, prova, declaração, residência, comprovação, penalidade,  recurso de ofício, ação de impugnação, prazo, Juiz Eleitoral, publicação, pedido, inscrição, redução, fraude.",1
64420,"Criação, Dia Nacional do Autocuidado, comemoração, julho, saúde.",0
60454,"Facultatividade, empresa de prestação de serviço, curso livre, autorização, opção, (SIMPLES), limitação, receita bruta.",3
60255,"Declaração, Encontro para Consciência Cristã, patrimônio cultural brasileiro, Campina Grande (PB).",2
11799,"PROIBIÇÃO, LIMITE DE  IDADE, INGRESSO, CONTRATAÇÃO, SERVIÇO PUBLICO, EMPRESA PRIVADA.",0
39084,"Alteração, Lei do SIMPLES, autorização, opção, (SIMPLES), academia, ginástica, clube, atividade esportiva, profissão, Fisicultor.",3
63551,"Profissão, agente penitenciário, exercício profissional. _Alteração, Legislação Tributária Federal, isenção, Imposto sobre a Renda da Pessoa Física (IRPF), remuneração, agente penitenciário. _ Alteração, Lei de Isenção do IPI para Compra de Automóveis, isenção, Imposto sobre produtos industrializados (IPI), compra, automóvel, agente penitenciário.",3
32781,"Inclusão, Semana Farroupilha, setembro, Calendário Oficial de Datas e Eventos Brasileiro, calendário turístico.",2
38686,"Alteração, Lei Antifumo, advertência escrita, rótulo do produto, bebida alcoólica, malefício, riscos(segurança), saúde, dados estatísticos, acidente de trânsito, fotografia.",0
25226,"Autorização, União Federal, compensação financeira, estados, (DF), perda, Fundo de Estabilização Fiscal, emissão, titulo da dívida pública, representação, (CFT), responsabilidade, Tesouro Nacional, escrituração, custódia, Banco do Brasil, fixação, prazo, valor nominal, atualização, índice de preços, (FGV), taxas, juros, pagamento, antecipação, resgate, certificado, utilização, amortização, obrigações, beneficiário, bônus, reestruturação, dívida externa, refinanciamento, dívida interna, dívida mobiliária, dívida pública, liquidação, saldo devedor, revogação, dispositivos, lei federal, criação, adicionais, contribuição social, servidor público civil, manutenção, regime, previdência, funcionários, Administração Federal.",3
2252,"Inscrição, nome, cacique, Livro dos Heróis da Pátria, vulto histórico.",2
35401,"Alteração, Código de Processo Civil, Lei do Crédito Educativo, proibição, exigência, fiador, credito educativo, autorização, parcelamento, resgate, valor, financiamento, desconto, salário, utilização, procedimento sumário, julgamento, causa judicial, cobrança, dívida.",0
39582,"Alteração, Lei do ISS, Lei da Improbidade Administrativa, incidência, ISS, local, prestação de serviço, reparação, solo, plantio, silagem, colheita, semovente, vigilância, município, execução, transporte municipal, fixação, limite mínimo, alíquota, inclusão, relação, serviços, hospedagem, disponibilização, dados, texto, imagem, confecção, lente de contato, tatuagem, piercing, produção, gravação, edição, legenda, filme, videoteipe, costura, guincho, guindaste, transporte coletivo municipal,  propaganda, publicidade, traslado, cremação, cessão, cemitério, crime, improbidade administrativa, concessão, isenção, benefício fiscal, incentivo fiscal, critérios, destinação, ICMS, municípios.",3
48686,"Declaração, personagem ilustre, padre, patrono, cooperativismo.",2
4526,"Normas, cobrança, crédito, Divida Ativa da União, autarquia, fundação pública, quitação, débito fiscal, regulamentação, garantia, ato extrajudicial, oferta, hipoteca, bens imóveis, embarcação, aeronave, parcelamento, dívida, depósito, dinheiro, fiança bancária, seguro-garantia, redução, encargos da dívida, responsabilidade, (CEF), procedimentos, leilão extrajudicial, dação em pagamento.   _Alteração, depósito judicial, depósito extrajudicial, tributos, contribuição federal, fixação, valor, remuneração, conselheiro, titular, suplente, Conselho Administrativo de Recursos Fiscais, representante, contribuinte.",3
52334,"Criação, Dia Nacional do Profissional da Limpeza.",2
3479,"Criação, ferrovia, transporte ferroviário, passageiro, ligação, município, Cuiabá, Rondonópolis, (MT).",0
31304,"Alteração, Lei de Isenção do IPI para Compra de Automóveis, isenção fiscal, (IPI), aquisição, veículo automotor, membros, Polícia Federal, Polícia Rodoviária Federal, Polícia Ferroviária Federal, Polícia Cilvil, Polícia Militar, Corpo de Bombeiros Militar, serviço ativo.",3
57439,"Alteração, Lei do PRONASCI, inclusão, guarda portuário, beneficiário, Bolsa Formação.",0
13539,"Manifestação cultural, peão boiadeiro, São Paulo (SP), cultura nacional, patrimônio cultural, patrimônio material, patrimônio imaterial, reconhecimento, Barretos (SP), Capital Nacional do Rodeio e da Cultura Boiadeira. _ Revogação, Lei Federal, nomeação, Barretos (SP), Capital Nacional do Rodeio.",2
46685,"Alteração, Consolidação das Leis do Trabalho (CLT), ampliação, período, compensação de horas de trabalho, banco de horas, microempresa, pequena empresa.",0
55376,"Critérios, Poder Público, incentivo, guarda, adoção, criança, adolescente, órfão, menor abandonado, gratuidade, assistência jurídica, documentação, formalização, processo, contribuinte, adotante, dedução, imposto de renda.",0
34764,"Alteração, Constituição Federal, extensão, realização, segundo turno, eleição municipal, Prefeito, Vice-prefeito, Municípios.",1
66188,"Exclusão, base de cálculo, tarifa, energia elétrica, custo, previsão, inadimplemento, consumidor, ligação, irregularidade, desvio, energia,  limitação, percentual, compensação, perda, distribuição, transmissão, energia elétrica.",3
59163,"Radio, Santa Isabel do Pará, (PA).",0
39256,"Inclusão, nome, galeria,  candidato eleito, ex-deputado, ex-presidente.",2
11051,"Alteração, lei  federal, isenção tributária, Imposto sobre Produtos Industrializados (IPI), aquisição, veículo terrestre, Órgão de segurança pública, utilização, transporte, preso, trabalhador, estabelecimento penal, equipamento, máquina, destinação, construção, reforma, manutenção, modernização, estabelecimento penal, benefício fiscal, sistema carcerário.",0
36732,"Constituição, critério, distribuição, parcela, receita, município, repasse, União, produtos, arrecadação, Imposto sobre a renda e proventos de qualquer natureza (IR), Imposto sobre produtos industrializados (IPI), planejamento, política social, garantia, participação, sociedade, administração, princípios, ensino, proibição, supressão, direito, educação, parte, recursos, Estado, Distrito Federal, Município, destinação, manutenção, desenvolvimento, educação básica, remuneração, professor.  _Ato das Disposições Constitucionais Transitórias, aplicação, percentual, recursos, União, destinação, irrigação, Região Centro-Oeste, Região Nordeste, agricultor familiar, revogação, dispositivo legal, recurso financeiro, educação básica.",0
62328,"Critérios, incentivo, fabricação nacional, veículo automotor, aumento, produção, álcool combustível, combustível  alternativo, redução, poluição, criação, emprego, desenvolvimento industrial, frota, veículos, acordo, empresa, custo de produção, produtividade, executivo, autorização, instituição financeira oficial, créditos, financiamento, implantação, projeto, comercialização, desenvolvimento tecnológico.",0
65629,"Alteração, Regime Jurídico Único, consolidação, proibição, prática, nepotismo, administração federal, explicitação,  conduta, caracterização,   improbidade administrativa  _ Alteração, Código Penal, Crime praticado por funcionário público contra a administração em geral ,  tipicidade penal,  nepotismo,   detenção.",1
28773,"Garantia,  pessoa portadora de deficiência, deficiente visual, cego, acompanhamento, cão-guia, ingresso, permanência, local, acesso, público, utilização, comunidade, administração federal, administração estadual, administração municipal, orgão público, estabelecimento comercial, estabelecimento industrial, bancos, hospital, supermercado, bar, lanchonete, oferecimento, prestação de serviço, população, meios de transportes, impedimento, entrada,  descumprimento, proibição, caracterização, atentado, liberdade pessoal, possibilidade, vítima, impetração, habeas corpus, empresa, responsabilidade, discriminação, aplicação, pena, interdição, atividade, ocorrência, fato, servidor público, qualificação, falta grave.",0
28952,"Alteração, Lei de Diretrizes e Bases da Educação Nacional, Lei Darcy Ribeiro, obrigatoriedade, estabelecimento de ensino, escola pública, escola particular, ensino médio, inclusão, conteúdo, Direitos, Mulher.",0
61420,"Publicação, relatório, Poder executivo, dados, distribuição, renda, riqueza, população, declaração, Imposto de Renda, pessoa física.",3
4980,"Alteração, Lei da Improbidade Administrativa, Lei dos Crimes de Responsabilidade, decreto-lei,  tipicidade, improbidade administrativa,  crime  de responsabilidade,  publicidade institucional, promoção,  autoridade pública, servidor público.",1
55212,"Rejeição, Rádio, Londrina, (PR).",0
12740,"Alteração, Lei Federal, critério, emissão, cédula de crédito bancário, meio eletrônico.",3
20939,"Aprovação, rádio comunitária, São Felix do Coribe, (BA).",0
34682,"Alteração, autorização, foreiro, requerimento, remissão, foro, imóvel, zona urbana, dedução, valor, aforamento, posterioridade, protocolo, redução, taxa de ocupação, limite mínimo, inscrição.",1
63505,"Criação, Mês Nacional de Combate ao Câncer de Cabeça e Pescoço, comemoração, julho.",0
37643,"Alteração, decreto-lei, limite, alíquota, imposto de importação, bagagem acompanhada, isenção tributária, aumento, cota de isenção da bagagem acompanhada, viajante.",3
10719,"Alteração, Lei da Reforma Bancária, emissão, papel-moeda, moeda metálica, homenagem,  mulher, população negra, combate, discriminação racial, discriminação, identidade de gênero.",2
13965,"Autorização, (INSS), doação, imóvel, prefeitura, munícipio, Rio de Janeiro, (RJ), construção, estabelecimento de ensino, ensino profissionalizante.",1
23296,"Criação, (ZPE), exportação, município, Itacoatiara, (AM).",0
63979,"Alteração, decreto-lei federal, isenção, pagamento, pedágio, veículo automotor, Oficial de Justiça, exercício funcional, diligência.",0
28343,"Criação, Dia Nacional do Sistema Braille, acessibilidade, deficiente visual, cego, comemoração, abril, evento, homenagem, atividade educativa, direitos, pessoa portadora de deficiência, mercado de trabalho, prevenção, doença, cegueira, acessibilidade, produção, texto, código Braille, capacitação profissional, professor.",2
35125,"Criação, Dia Nacional de Conscientização quanto à Mucopolissacaridose, doença hereditária, distúrbio do metabolismo.",2
65511,"Alteração, Lei dos Crimes Hediondos, Código Penal, aumento, pena de reclusão, peculato, concussão, excesso de exação, corrupção ativa, corrupção passiva, inclusão, crime hediondo, homicídio simples, homicídio qualificado.",1
43383,"Sistema Tributário Nacional, isenção, ICMS, ISS, PIS, PASEP, COFINS, combustível líquido, gás combustível, gás natural, energia elétrica, destinação, concessionária, transporte coletivo urbano, ônibus, trem, metrô.",3
435,"Normas, alienação, imóvel residencial, propriedade, União Federal, administração, Forças Armadas, ocupação, prazo determinado, tempo, continuação, servidor público civil, funcionário militar, serviço exterior, exclusão, imóvel, localização, quartel, base militar, preferência, venda, ocupante, preço, mercado.",0
53140,"Criação, Dia Nacional do Tropeiro, comemoração, maio.",2
18702,"Concessão, Título de capital nacional, Capital Nacional do Livro, Lençóis Paulista (SP), São Paulo (Estado).",2
22746,"Alteração, Constituição Federal, União Federal, Estados, (DF), Municípios, aplicação de recursos, percentual, transferência, recursos orçamentários, receita tributária, impostos, promoção, desporto, prioridade, desporto educacional, desporto de alto rendimento.",0
18300,"Alteração, Lei de Responsabilidade Fiscal, autorização, Tesouro Nacional, compensação financeira, Fundo do Regime Geral de Previdência Social, repasse, valor, renúncia da receita, contribuição previdenciária, Seguridade Social, empregador, cota patronal, trabalhador, entidade de fins filantrópicos, empregador doméstico, empregador rural, segurado especial, empresa, opção, (SIMPLES), instituição esportiva, futebol, atleta profissional, incidência, receita, exportação, produção agropecuária, produto rural.",3
42658,"Alteração, Código Penal, critério, aumento, pena, crime contra a vida, homicídio, homicídio qualificado, homicídio, membro, forças armadas, segurança nacional, sistema carcerário, Força Nacional de Segurança Pública, auxílio ao suicídio, induzimento ao suicídio, Instigação ao suicídio, infanticídio, aborto provocado. _ Alteração, Lei de Execução Penal, critério, execução, Pena privativa de liberdade.",0
45910,"Alteração,Legislação Tributária Federal, isenção,  imposto de renda, proventos, aposentadoria, reforma  militar, portador, albinismo.",3
19630,"Aprovação, rádio, Monte Negro, (RO).",0
56469,"Férias, verba indenizatória, não incidência, Imposto de Renda.",3
12124,"Alteração, Lei da Nova Organização da Presidência da República e Ministérios, criação, Secretaria Especial de Portos. - Alteração, Lei de Reestruturação dos Transportes Aquaviário e Terrestre, Lei de Modernização dos Portos, inclusão, Secretário, Secretaria Especial de Portos, membros, (CONIT), autorização, concessão, construção, exploração, estação, transbordo, carga, instalações portuárias, competência, (ANTAQ), (DNIT).",0
23847,"Criação, Dia Nacional de Combate ao Trabalho Escravo, Semana Nacional de Combate ao Trabalho Escravo, comemoração, janeiro.",2
10181,"Regulamentação, Constituição Federal, Tributação,  definição, produto semi-elaborado, abate, animal, árvore, produto agrícola, beneficiamento, mineral, minério, incidência, isenção, imposto estadual, (ICMS), destinação, exterior, exportação.",3
8966,"Denominação, trecho rodoviário, rodovia federal, Cascavel, (PR), homenagem póstuma.",2
55776,"Alteração, Lei das Licitações, apoio, Poder Público, atividade, incentivo, criação, capacitação, cooperativa educacional, cooperativa de trabalho, comunidade, população carente, associações, formação profissional, emprego, autorização, entidade, empresa pública, repasse, recursos financeiros, material, tecnologia, realização, compensação, fornecimento, bens, serviço, orgão público, empresa, programa de incentivo.   _ Alteração, Lei das Licitações, inexigibilidade, concorrência, contratação, aquisição, bens, serviço, cooperativa educacional, cooperativa de trabalho, comunidade, população carente, atendimento, requisitos, prazo, funcionamento, preço, mercado, restrição, cooperativa, associações, composição, percentual, associado, recebimento, benefício, anterioridade, duplicidade, entidade, habilitação, contrato, exigência, interessado, consulta.",1
33177,"Alteração, Lei do Simples, autorização, opção, (SIMPLES), pessoa jurídica, escritório, advocacia, sociedade, advogado.",3
48612,"Criação, Procuradoria da República, Primeira Região, Segunda Região, Terceira Região, Quarta Região, Quinta Região, cargo público, Procurador da República, cargo efetivo, Analista, Técnico, Apoio Técnico Administrativo, transformação, função em comissão, Chefe, Supervisor, Secretário, Coordenador, estruturação, organização administrativa.",1
50031,"Autorização, Poder Executivo, criação, campus universitário, Aracuai (MG), Minas Gerais,  Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM).",0
26372,"Alteração, Lei de Responsabilidade Fiscal, critério, despesa pública, publicidade institucional, propaganda instituicional, Ente federado.",0
24534,"Aprovação, rádio, Uruburetama, (CE).",0
51138,"Criação, Programa de Orientação Sexual, de Prevenção das Doenças Sexualmente Transmissíveis e do Uso de Drogas, educação sexual, estabelecimento de ensino, ensino fundamental, ensino médio, oferecimento, curso de formação, professor.",0
44685,"Normas, Sistema de Armazenamento Subterraneo de Líquidos Combustiveis de Uso Automotivo, obrigatoriedade, laudo  tecnico, cumprimento, normas tecnicas, adaptação, material, equipamentos, posto de gasolina, redução, acidentes, grupo, atendimento, emergencia, segurança.",0
873,"Denominação, anel rodoviário, Belo Horizonte (MG).",2
38065,"Título de capital Nacional, Capital Nacional do Espumante, Garibaldi (RS), Rio Grande do Sul.",2
55905,"Alteração, Código de Defesa do Consumidor, obrigatoriedade, fornecedor, produto, serviço, recebimento, reclamação, consumidor, petição, carta,  resposta, notificação, pagamento, indenização, autorização, empregado, fornecimento, produto, recebimento, autenticação, correspondência, garantia, fabricante, importador, prazo máximo, oferta, oferecimento, peças, reposição,  veículos, aeronave, aparelho eletrônico, informática,  telefonia.",0
51574,"AUTORIZAÇÃO, TRANSFERENCIA, PATRIMONIO, TERRENO, ALIENAÇÃO,  IMOVEL, MUNICIPIO, JUIZ DE FORA, (MG), BENEFICIÁRIO, UNIVERSIDADE FEDERAL DE JUIZ DE FORA, (SPU).",0
5584,"Legislativo, inexistência, restrição,  iniciativa, competência legislativa, parlamentar, apresentação, proposição, projeto de lei, subscrição, percentual, quorum, assinatura, Deputado Federal, Senador, autorização, emenda coletiva, matéria, aumento, despesa pública.",1
29763,"Alteração, Lei da Desestatização, retirada, programa, privatização, empresa de energia elétrica, controle, União Federal, proibição, alienação.",0
16373,"Alteração, Constituição Federal, Direitos Políticos, autorização, cônjuge, parente, Presidente da República, Governador, Estados, (DF), Prefeito, candidatura, candidato, reeleição, substituto, sucessão, extinção, inelegibilidade.",1
53820,"Obrigatoriedade, hospital particular, hospital público, instalação, cama hospitalar, mobiliário, atendimento, paciente, obeso, disciplinamento, Agência Nacional de Vigilância Sanitária (ANVISA).",0
47135,"Disposição, prevenção, alerta, advertência, embalagem do produto, rótulo do produto, informação ao consumidor,  alimento industrializado,  alergia, alergenos, doença,  produto industrializado, sistema imunológico.",0
66535,"Aplicação, Lei de Responsabilidade Fiscal, criação, Conselho de Gestão Fiscal, vinculação, Ministério da Fazenda,  acompanhamento, avaliação, gestão fiscal, Administração Pública, competência, composição, representante, Conselho Federal, Contabilidade, Economia, Administração, (OAB), União Federal, Estados, (DF), Municípios, Executivo, Legislativo, Judiciário, Ministério Público, critérios, exclusão, membros, atividade não-remunerada.",1
51032,"Denominação, trecho rodoviário, rodovia federal, Afonso Cláudio, Distrito, Serra Pelada (ES).",2
65166,"Alteração, Lei de Responsabilidade Fiscal, autorização, repasse, transferência voluntária, orçamento, União Federal, Estados, despesa, elaboração, licenciamento ambiental, projeto básico, projeto executivo.",0
64461,"Alteração, lei federal, isenção tributária, Imposto sobre Operações de Crédito, Câmbio e Seguro ou Relativas a Títulos ou Valores Mobiliários (IOF), financiamento, veículo terrestre, Pessoa com deficiência intelectual, pessoa com deficiência severa, doença crônica, doença grave, doença degenerativa,  pessoa com transtorno do espectro autista, benefício fiscal. _Alteração, Lei de Isenção do IPI para Compra de Automóveis, isenção tributária, Imposto sobre produtos industrializados (IPI), veículo automotor, pessoa, doença crônica, doença grave, doença degenerativa, laudo médico, Departamento de Trânsito (Detran).",3
14110,"Criação, Dia Nacional do Frevo.",2
11769,"Alteração, Código Penal, tipicidade, crime, exercício ilegal da profissão, Nutricionista, falta, habilitação profissional.",0
55643,"Criação, carta de fiança, locação, imóvel residencial, beneficiário, servidor público civil, militar, União Federal, dispensa, fiador, limitação, valor, percentual, remuneração, desconto, consignação em folha de pagamento, depósito, conta corrente, locador, possibilidade, orgão público, cobrança, custo, exoneração, obrigatoriedade, informação, proprietário, imóvel.",1
17639,"AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, SOCIEDADE DE ECONOMIA MISTA, BANCO OFICIAL,  TERRITORIO FEDERAL DE RONDONIA.",3
10949,"Denominação, aeroporto, Londrina (PR), homenagem, personagem ilustre.",2
9228,"Alteração, Legislação Tributária Federal, pagamento, tributos, atraso, acréscimo, juros, direito, utilização, bonus.",3
59738,"Critérios, publicidade, divulgação, medicamentos, destinação,  consumidor, exigencia, autorização, autoridade sanitaria, apresentação, informação, esclarecimentos, consumo, inclusão, nome, marca generica,  representante, laboratorio, proibição, sugestão, incentivo, aquisição, produto farmacêutico, usuario, drogas, empresa de produtos farmaceuticos, controle,  amostra gratis, prescrição, limitação, quantidade, responsabilidade, fiscalização, aplicação, normas, (ANVISA), patrocinio, congresso, simpósio, propaganda, televisão.",0
63680,"Ensino, Aeronáutica, qualificação, exercício profissional, observação, normas, Lei de Diretrizes e Bases da Educação Nacional, Lei Darcy Ribeiro, organização, estrutura, Sistema de Ensino, educação básica, curso supletivo, educação profissional, ensino superior, graduação, pós graduação, Escola de Altos Estudos, emissão, diploma, critérios, escolha, corpo docente, revogação,  ensino, Ministério da  Aeronáutica, promoção, cadete, Escola de Aeronáutica.",1
57964,"Constituição Federal (1988), Emenda constitucional, Administração pública, Prefeitura municipal, servidor público civil federal, servidor público civil municipal, policial civil, policial militar, pessoa, vínculo empregatício, ex-território, Amapá, Roraima, enquadramento, quadro em extinção, Administração federal.",1
28496,"Obrigatoriedade, Policial, Polícia Civil, Polícia Militar, realização, exame toxicológico, drogas, entorpecente, recusa, exame, responsabilidade administrativa, responsabilidade penal, restrição, exercício funcional, riscos, encaminhamento, tratamento médico,  ausência, pena disciplinar.",0
27114,"Alteração, Lei das Eleições, fixação, prazo, proibição, reajuste, remuneração, servidor público civil, valor, índice, perda, poder aquisitivo, caracterização, improbidade administrativa, penalidade, crime eleitoral.",1
45642,"Alteração, legislação trabalhista, regulamentação, situação, trabalhador, contratação, país, Brasil, transferência, prestação de serviço, país estrangeiro, aplicação, legislação brasileira, inclusão, garantia, programa, seguro-desemprego, abono salarial, exclusão, responsabilidade, empresa, pessoa jurídica, recolhimento, contribuição social, (SEST), (SENAT), (SEBRAE), (INCRA), contagem, tempo de serviço, período, afastamento, trabalho, exterior, revogação, dedução (FGTS), saldo, conta vinculada, pagamento, conversão, câmbio, moeda estrangeira, moeda nacional.",0
39346,"Denominação, viaduto, trecho rodoviário, rodovia federal, Uberlândia (MG), homenagem póstuma.",2
5932,"Denominação, serviço de apoio tecnológico, agricultura familiar, Glória de Dourados (MS), Mato Grosso do Sul, homenagem póstuma, cidadão, prestação de serviços, município.",2
57545,"Alteração, Lei Orgânica da Assistência Social, criação, programa social, proteção, primeira infância, idoso, pessoa com deficiência, participação, jovem,  serviço voluntário.",0
19059,"Denominação, ponte, Rio Gravataí, ligação, Porto Alegre (RS), Canoas (RS).",2
39795,"Concessão, isenção fiscal, (IPI), (PIS-Pasep), (Cofins), professor, rede pública, escola pública, aquisição, importação, microcomputador.",0
58843,"Alteração, lei federal, regime tributário, microempresa, pequena empresa, exclusão, pessoa jurídica,  empresa de prestação de serviço, limite de receita bruta, aumento, alíquota, (SIMPLES).",3
19305,"Criação, Dia Nacional em Defesa da Orla Marítima, meio ambiente, comemoração, mês, novembro.",2
63978,"Alteração, decreto-lei federal, isenção, pagamento, pedágio, veículo automotor, Oficial de Justiça, exercício funcional, diligência.",1
34541,"Alteração, Código de Processo Penal, inclusão, autoridade policial, abstenção, juízo, culpabilidade, investigação policial, registro, exigência, requisição, assentimento prévio, Ministério Público.",0
691,"Regulamentação, Constituição Federal, Administração Pública, garantia, portador, deficiência, ocupação, cargo público, função pública, administração direta, administração indireta, União Federal, estados, municípios, reserva, percentual, vaga, pessoa deficiente, concurso público, inexistência, perícia médica, apresentação, laudo médico, classificação, (OMS), obrigatoriedade, poder público, utilização, tabela, (CORDE), direitos, escolha, lotação.",0
48922,"Critérios, atendimento, cliente, agência bancária, bancos,  instituição financeira, preferência, pessoal, bancário, complementação, caixa eletrônico, obrigatoriedade, localização, interior, agência, segurança, exigência, legislação, direitos, usuário, opção, utilização, proibição, discriminação, recebimento, contas, serviços públicos, criação, (BACEN), número, telefone, gratuidade, registro, sugestão, denúncia, reclamação, irregularidade, público, hipótese, descumprimento, aplicação, penalidade, lei federal, reforma bancária.",3
66254,"Criação, Semana Nacional da Agricultura Familiar, comemoração, julho, debate, melhoria, agricultura familiar.",0
1000,"Alteração, Constituição Federal, Legislativo, autorização, reeleição, membros, Mesa Diretora, Presidência, Senado, Câmara dos Deputados, Assembléia Legislativa, (CLDF), Câmara Municipal.",1
59979,"Criação, (ZPE), exportação, município,Tucuruí, (PA).",0
66308,"Alteração, Legislação Tributária Federal, alíquota zero, Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (Contribuição PIS-Pasep), receita, comercialização, óleo diesel, transporte ferroviário, transporte de carga, benefício fiscal.",0
64390,"Fixação, alíquota, Imposto de Exportação, incidência, minério de ferro, nomenclatura, (Mercosul), critérios, aumento, Executivo.",3
63532,"Normas, parcelamento, crédito tributário, dívida consolidada, débito fiscal, Fazenda Nacional, débito previdenciário, (INSS), empresa, recuperação judicial, fixação, valor, parcela, prazo, requerimento, inscrição, Dívida Ativa, inadimplência, rescisão, benefício, exclusão, sujeito passivo.",3
3681,"Alteração, plano de carreira, senado, reajuste, vencimentos, servidor, cargo efetivo.",1
54375,"Regulamentação, profissão, Catador de Materiais Recicláveis, Reciclador de Papel, competência, registro profissional, normas, trabalhador, menor.",0
17704,"Alteração, Lei da Reforma Bancária, competência, Conselho Monetário Nacional, fixação, limitação, cobrança, taxas, juros, percentual, (SELIC), pessoa física, pessoa jurídica, instituição financeira, bancos, cooperativa de crédito, proibição, capitalização, aplicação,  favorecimento, financiamento, investimento, turismo, ecoturismo, preservação, meio ambiente, reciclagem.",3
42141,"Alteração, Lei de Inelegibilidade, inelegibilidade, candidato, cargo eletivo, existência, condenação, juiz, tramitação, ação penal, processo judicial, inclusão, sonegação fiscal, crime contra o patrimônio, crime hediondo, crime contra a saúde pública, crime contra a segurança nacional, crime ambiental.",1
10580,"Alteração, Legislação tributária federal, redução, alíquota zero, PIS-Pasep, Cofins, bicicleta, incentivo fiscal, desoneração tributária.",3
37350,"Denominação, viaduto, trecho, rodovia federal, Município, Teresópolis, (RJ), homenagem póstuma, ex - Deputado.",2
